timestamp,pod,cpu_m,mem_mi
1788204321,s2-5f46b67bc6-pswkd,157,124
1788204321,s3-79b96b87f7-8n5lq,60,136
1788204326,gw-nginx-554c75559c-97p9m,8,8
1788204326,s0-7858bb7b56-4c22f,129,142
1788204326,s1-7d66c7d4c5-97jlk,110,142
1788204326,s2-5f46b67bc6-pswkd,157,124
1788204326,s3-79b96b87f7-8n5lq,60,136
1788204331,gw-nginx-554c75559c-97p9m,8,8
1788204331,s0-7858bb7b56-4c22f,129,142
1788204331,s1-7d66c7d4c5-97jlk,110,142
1788204331,s2-5f46b67bc6-pswkd,157,124
1788204331,s3-79b96b87f7-8n5lq,60,136
1788204336,gw-nginx-554c75559c-97p9m,8,7
1788204336,s0-7858bb7b56-4c22f,135,143
1788204336,s1-7d66c7d4c5-97jlk,109,143
1788204336,s2-5f46b67bc6-pswkd,160,124
1788204336,s3-79b96b87f7-8n5lq,58,136
1788204341,gw-nginx-554c75559c-97p9m,8,7
1788204341,s0-7858bb7b56-4c22f,135,143
1788204341,s1-7d66c7d4c5-97jlk,109,143
1788204341,s2-5f46b67bc6-pswkd,160,124
1788204341,s3-79b96b87f7-8n5lq,58,136
1788204346,gw-nginx-554c75559c-97p9m,8,7
1788204346,s0-7858bb7b56-4c22f,135,143
1788204346,s1-7d66c7d4c5-97jlk,109,143
1788204346,s2-5f46b67bc6-pswkd,160,124
1788204346,s3-79b96b87f7-8n5lq,58,136
1788204351,gw-nginx-554c75559c-97p9m,8,7
1788204351,s0-7858bb7b56-4c22f,125,142
1788204351,s1-7d66c7d4c5-97jlk,109,142
1788204351,s2-5f46b67bc6-pswkd,152,124
1788204351,s3-79b96b87f7-8n5lq,57,137
1788204356,gw-nginx-554c75559c-97p9m,8,7
1788204356,s0-7858bb7b56-4c22f,125,142
1788204356,s1-7d66c7d4c5-97jlk,109,142
1788204356,s2-5f46b67bc6-pswkd,152,124
1788204356,s3-79b96b87f7-8n5lq,57,137
1788204361,gw-nginx-554c75559c-97p9m,8,7
1788204361,s0-7858bb7b56-4c22f,125,142
1788204361,s1-7d66c7d4c5-97jlk,109,142
1788204361,s2-5f46b67bc6-pswkd,152,124
1788204361,s3-79b96b87f7-8n5lq,57,137
1788204366,gw-nginx-554c75559c-97p9m,8,8
1788204366,s0-7858bb7b56-4c22f,130,143
